Material,Type of wood,Lateral load resisting  system,Height,Irregularities,Ductility
Wood,Light wood,Wall,Unknown,Irregular-soft storey,Unknown
Wood,Light wood,Wall,Unknown,Irregular-torsion,Non ductile (PGA<0.1g)
Wood,Light wood,Wall,Unknown,Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g)
Wood,Light wood,Wall,Unknown,Irregular-torsion,High ductility (PGA>0.3g)
Wood,Light wood,Wall,Unknown,Irregular-torsion,Unknown
Wood,Light wood,Wall,Unknown,Unknown,Non ductile (PGA<0.1g)
Wood,Light wood,Wall,Unknown,Unknown,Moderate ductility (0.1g<PGA<0.3g)
Wood,Light wood,Wall,Unknown,Unknown,High ductility (PGA>0.3g)
Wood,Light wood,Wall,Unknown,Unknown,Unknown
Wood,Light wood,Dual system,Low rise (<3 floors),Regular,Non ductile (PGA<0.1g)
Wood,Light wood,Dual system,Low rise (<3 floors),Regular,Moderate ductility (0.1g<PGA<0.3g)
Wood,Light wood,Dual system,Low rise (<3 floors),Regular,High ductility (PGA>0.3g)
Wood,Light wood,Dual system,Low rise (<3 floors),Regular,Unknown
Wood,Light wood,Dual system,Low rise (<3 floors),Irregular-soft storey,Non ductile (PGA<0.1g)
Wood,Light wood,Dual system,Low rise (<3 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g)
Wood,Light wood,Dual system,Low rise (<3 floors),Irregular-soft storey,High ductility (PGA>0.3g)
Wood,Light wood,Dual system,Low rise (<3 floors),Irregular-soft storey,Unknown
Wood,Light wood,Dual system,Low rise (<3 floors),Irregular-torsion,Non ductile (PGA<0.1g)
Wood,Light wood,Dual system,Low rise (<3 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g)
Wood,Light wood,Dual system,Low rise (<3 floors),Irregular-torsion,High ductility (PGA>0.3g)
Wood,Light wood,Dual system,Low rise (<3 floors),Irregular-torsion,Unknown
Wood,Light wood,Dual system,Low rise (<3 floors),Unknown,Non ductile (PGA<0.1g)
